period,weighted_avg_price,total_transacted_quantity,total_std_qty,total_tx_qty,avg_std_price,num_trades,lag_1,lag_2,lag_3,lag_4,month,year,target_1,target_2
2014-12,3.146376811594203,0.0,14.0801,14.0801,2600.0,2.0,3.1253623188405797,3.1043478260869564,3.0833333333333335,3.06231884057971,12,2014,3.167391304347826,3.1884057971014492
2014-12,3.167391304347826,0.0,14.0801,14.0801,2600.0,2.0,3.146376811594203,3.1253623188405797,3.1043478260869564,3.0833333333333335,12,2014,3.1884057971014492,3.2094202898550726
2014-12,3.1884057971014492,0.0,14.0801,14.0801,2600.0,2.0,3.167391304347826,3.146376811594203,3.1253623188405797,3.1043478260869564,12,2014,3.2094202898550726,3.230434782608696
2014-12,3.2094202898550726,0.0,14.0801,14.0801,2600.0,2.0,3.1884057971014492,3.167391304347826,3.146376811594203,3.1253623188405797,12,2014,3.230434782608696,3.2514492753623188
2014-12,3.230434782608696,0.0,14.0801,14.0801,2600.0,2.0,3.2094202898550726,3.1884057971014492,3.167391304347826,3.146376811594203,12,2014,3.2514492753623188,3.272463768115942
2014-12,3.2514492753623188,0.0,14.0801,14.0801,2600.0,2.0,3.230434782608696,3.2094202898550726,3.1884057971014492,3.167391304347826,12,2014,3.272463768115942,3.2934782608695654
2014-12,3.272463768115942,0.0,14.0801,14.0801,2600.0,2.0,3.2514492753623188,3.230434782608696,3.2094202898550726,3.1884057971014492,12,2014,3.2934782608695654,3.3144927536231883
2014-12,3.2934782608695654,0.0,14.0801,14.0801,2600.0,2.0,3.272463768115942,3.2514492753623188,3.230434782608696,3.2094202898550726,12,2014,3.3144927536231883,3.3355072463768116
2014-12,3.3144927536231883,0.0,14.0801,14.0801,2600.0,2.0,3.2934782608695654,3.272463768115942,3.2514492753623188,3.230434782608696,12,2014,3.3355072463768116,3.356521739130435
2014-12,3.3355072463768116,0.0,14.0801,14.0801,2600.0,2.0,3.3144927536231883,3.2934782608695654,3.272463768115942,3.2514492753623188,12,2014,3.356521739130435,3.377536231884058
